minimo {99999,-99999}
minimo {58713,-58713}
minimo {58712,-58712}
minimo {58711,-58711}
minimo {58710,-58710}
minimo {58709,-58709}
minimo {58708,-58708}
minimo {58707,-58707}
minimo {58706,-58706}
minimo {58705,-58705}
minimo {58704,-58704}
minimo {58703,-58703}
minimo {58702,-58702}
minimo {58701,-58701}
minimo {58700,-58700}
minimo {58699,-58699}
minimo {58698,-58698}
minimo {58697,-58697}
minimo {58696,-58696}
minimo {58695,-58695}
minimo {58694,-58694}
minimo {58693,-58693}
minimo {58692,-58692}
minimo {58691,-58691}
minimo {58690,-58690}
minimo {58689,-58689}
minimo {58688,-58688}
minimo {58687,-58687}
minimo {58686,-58686}
minimo {58685,-58685}
minimo {58684,-58684}
minimo {58683,-58683}
minimo {58682,-58682}
minimo {58681,-58681}
minimo {58680,-58680}
minimo {58679,-58679}
minimo {58678,-58678}
minimo {58677,-58677}
minimo {58676,-58676}
minimo {58675,-58675}
minimo {58674,-58674}
minimo {58673,-58673}
minimo {58672,-58672}
minimo {58671,-58671}
minimo {58670,-58670}
minimo {58669,-58669}
minimo {58668,-58668}
minimo {58667,-58667}
minimo {58666,-58666}
minimo {58665,-58665}
minimo {58664,-58664}
minimo {58663,-58663}
minimo {58662,-58662}
minimo {58661,-58661}
minimo {58660,-58660}
minimo {58659,-58659}
minimo {58658,-58658}
minimo {58657,-58657}
minimo {58656,-58656}
minimo {58655,-58655}
minimo {58654,-58654}
minimo {58653,-58653}
minimo {58652,-58652}
minimo {58651,-58651}
minimo {58650,-58650}
minimo {58649,-58649}
minimo {58648,-58648}
minimo {58647,-58647}
minimo {58646,-58646}
minimo {58645,-58645}
minimo {58644,-58644}
minimo {58643,-58643}
minimo {58642,-58642}
minimo {58641,-58641}
minimo {58640,-58640}
minimo {58639,-58639}
minimo {58638,-58638}
minimo {58637,-58637}
minimo {58636,-58636}
minimo {58635,-58635}
minimo {58634,-58634}
minimo {58633,-58633}
minimo {58632,-58632}
minimo {58631,-58631}
minimo {58630,-58630}
minimo {58629,-58629}
minimo {58628,-58628}
minimo {58627,-58627}
minimo {58626,-58626}
minimo {58625,-58625}
minimo {58624,-58624}
minimo {58623,-58623}
minimo {58622,-58622}
minimo {58621,-58621}
minimo {58620,-58620}
minimo {58619,-58619}
minimo {58618,-58618}
minimo {58617,-58617}
minimo {58616,-58616}
minimo {58615,-58615}
minimo {58614,-58614}
minimo {58613,-58613}
minimo {58612,-58612}
minimo {58611,-58611}
minimo {58610,-58610}
minimo {58609,-58609}
minimo {58608,-58608}
minimo {58607,-58607}
minimo {58606,-58606}
minimo {58605,-58605}
minimo {58604,-58604}
minimo {58603,-58603}
minimo {58602,-58602}
minimo {58601,-58601}
minimo {58600,-58600}
minimo {58599,-58599}
minimo {58598,-58598}
minimo {58597,-58597}
minimo {58596,-58596}
minimo {58595,-58595}
minimo {58594,-58594}
minimo {58593,-58593}
minimo {58592,-58592}
minimo {58591,-58591}
minimo {58590,-58590}
minimo {58589,-58589}
minimo {58588,-58588}
minimo {58587,-58587}
minimo {58586,-58586}
minimo {58585,-58585}
minimo {58584,-58584}
minimo {58583,-58583}
minimo {58582,-58582}
minimo {58581,-58581}
minimo {58580,-58580}
minimo {58579,-58579}
minimo {58578,-58578}
minimo {58577,-58577}
minimo {58576,-58576}
minimo {58575,-58575}
minimo {58574,-58574}
minimo {58573,-58573}
minimo {58572,-58572}
minimo {58571,-58571}
minimo {58570,-58570}
minimo {58569,-58569}
minimo {58568,-58568}
minimo {58567,-58567}
minimo {58566,-58566}
minimo {58565,-58565}
minimo {58564,-58564}
minimo {58563,-58563}
minimo {58562,-58562}
minimo {58561,-58561}
minimo {58560,-58560}
minimo {58559,-58559}
minimo {58558,-58558}
minimo {58557,-58557}
minimo {58556,-58556}
minimo {58555,-58555}
minimo {58554,-58554}
minimo {58553,-58553}
minimo {58552,-58552}
minimo {58551,-58551}
minimo {58550,-58550}
minimo {58549,-58549}
minimo {58548,-58548}
minimo {58547,-58547}
minimo {58546,-58546}
minimo {58545,-58545}
minimo {58544,-58544}
minimo {58543,-58543}
minimo {58542,-58542}
minimo {58541,-58541}
minimo {58540,-58540}
minimo {58539,-58539}
minimo {58538,-58538}
minimo {58537,-58537}
minimo {58536,-58536}
minimo {58535,-58535}
minimo {58534,-58534}
minimo {58533,-58533}
minimo {58532,-58532}
minimo {58531,-58531}
minimo {58530,-58530}
minimo {58529,-58529}
minimo {58528,-58528}
minimo {58527,-58527}
minimo {58526,-58526}
minimo {58525,-58525}
minimo {58524,-58524}
minimo {58523,-58523}
minimo {58522,-58522}
minimo {58521,-58521}
minimo {58520,-58520}
minimo {58519,-58519}
minimo {58518,-58518}
minimo {58517,-58517}
minimo {58516,-58516}
minimo {58515,-58515}
minimo {58514,-58514}
minimo {58513,-58513}
minimo {58512,-58512}
minimo {58511,-58511}
minimo {58510,-58510}
minimo {58509,-58509}
minimo {58508,-58508}
minimo {58507,-58507}
minimo {58506,-58506}
minimo {58505,-58505}
minimo {58504,-58504}
minimo {58503,-58503}
minimo {58502,-58502}
minimo {58501,-58501}
minimo {58500,-58500}
minimo {58499,-58499}
minimo {58498,-58498}
minimo {58497,-58497}
minimo {58496,-58496}
minimo {58495,-58495}
minimo {58494,-58494}
minimo {58493,-58493}
minimo {58492,-58492}
minimo {58491,-58491}
minimo {58490,-58490}
minimo {58489,-58489}
minimo {58488,-58488}
minimo {58487,-58487}
minimo {58486,-58486}
minimo {58485,-58485}
minimo {58484,-58484}
minimo {58483,-58483}
minimo {58482,-58482}
minimo {58481,-58481}
minimo {58480,-58480}
minimo {58479,-58479}
minimo {58478,-58478}
minimo {58477,-58477}
minimo {58476,-58476}
minimo {58475,-58475}
minimo {58474,-58474}
minimo {58473,-58473}
minimo {58472,-58472}
minimo {58471,-58471}
minimo {58470,-58470}
minimo {58469,-58469}
minimo {58468,-58468}
minimo {58467,-58467}
minimo {58466,-58466}
minimo {58465,-58465}
minimo {58464,-58464}
minimo {58463,-58463}
minimo {58462,-58462}
minimo {58461,-58461}
minimo {58460,-58460}
minimo {58459,-58459}
minimo {58458,-58458}
minimo {58457,-58457}
minimo {58456,-58456}
minimo {58455,-58455}
minimo {58454,-58454}
minimo {58453,-58453}
minimo {58452,-58452}
minimo {58451,-58451}
minimo {58450,-58450}
minimo {58449,-58449}
minimo {58448,-58448}
minimo {58447,-58447}
minimo {58446,-58446}
minimo {58445,-58445}
minimo {58444,-58444}
minimo {58443,-58443}
minimo {58442,-58442}
minimo {58441,-58441}
minimo {58440,-58440}
minimo {58439,-58439}
minimo {58438,-58438}
minimo {58437,-58437}
minimo {58436,-58436}
minimo {58435,-58435}
minimo {58434,-58434}
minimo {58433,-58433}
minimo {58432,-58432}
minimo {58431,-58431}
minimo {58430,-58430}
minimo {58429,-58429}
minimo {58428,-58428}
minimo {58427,-58427}
minimo {58426,-58426}
minimo {58425,-58425}
minimo {58424,-58424}
minimo {58423,-58423}
minimo {58422,-58422}
minimo {58421,-58421}
minimo {58420,-58420}
minimo {58419,-58419}
minimo {58418,-58418}
minimo {58417,-58417}
minimo {58416,-58416}
minimo {58415,-58415}
minimo {58414,-58414}
minimo {58413,-58413}
minimo {58412,-58412}
minimo {58411,-58411}
minimo {58410,-58410}
minimo {58409,-58409}
minimo {58408,-58408}
minimo {58407,-58407}
minimo {58406,-58406}
minimo {58405,-58405}
minimo {58404,-58404}
minimo {58403,-58403}
minimo {58402,-58402}
minimo {58401,-58401}
minimo {58400,-58400}
minimo {58399,-58399}
minimo {58398,-58398}
minimo {58397,-58397}
minimo {58396,-58396}
minimo {58395,-58395}
minimo {58394,-58394}
minimo {58393,-58393}
minimo {58392,-58392}
minimo {58391,-58391}
minimo {58390,-58390}
minimo {58389,-58389}
minimo {58388,-58388}
minimo {58387,-58387}
minimo {58386,-58386}
minimo {58385,-58385}
minimo {58384,-58384}
minimo {58383,-58383}
minimo {58382,-58382}
minimo {58381,-58381}
minimo {58380,-58380}
minimo {58379,-58379}
minimo {58378,-58378}
minimo {58377,-58377}
minimo {58376,-58376}
minimo {58375,-58375}
minimo {58374,-58374}
minimo {58373,-58373}
minimo {58372,-58372}
minimo {58371,-58371}
minimo {58370,-58370}
minimo {58369,-58369}
minimo {58368,-58368}
minimo {58367,-58367}
minimo {58366,-58366}
minimo {58365,-58365}
minimo {58364,-58364}
minimo {58363,-58363}
minimo {58362,-58362}
minimo {58361,-58361}
minimo {58360,-58360}
minimo {58359,-58359}
minimo {58358,-58358}
minimo {58357,-58357}
minimo {58356,-58356}
minimo {58355,-58355}
minimo {58354,-58354}
minimo {58353,-58353}
minimo {58352,-58352}
minimo {58351,-58351}
minimo {58350,-58350}
minimo {58349,-58349}
minimo {58348,-58348}
minimo {58347,-58347}
minimo {58346,-58346}
minimo {58345,-58345}
minimo {58344,-58344}
minimo {58343,-58343}
minimo {58342,-58342}
minimo {58341,-58341}
minimo {58340,-58340}
minimo {58339,-58339}
minimo {58338,-58338}
minimo {58337,-58337}
minimo {58336,-58336}
minimo {58335,-58335}
minimo {58334,-58334}
minimo {58333,-58333}
minimo {58332,-58332}
minimo {58331,-58331}
minimo {58330,-58330}
minimo {58329,-58329}
minimo {58328,-58328}
minimo {58327,-58327}
minimo {58326,-58326}
minimo {58325,-58325}
minimo {58324,-58324}
minimo {58323,-58323}
minimo {58322,-58322}
minimo {58321,-58321}
minimo {58320,-58320}
minimo {58319,-58319}
minimo {58318,-58318}
minimo {58317,-58317}
minimo {58316,-58316}
minimo {58315,-58315}
minimo {58314,-58314}
minimo {58313,-58313}
minimo {58312,-58312}
minimo {58311,-58311}
minimo {58310,-58310}
minimo {58309,-58309}
minimo {58308,-58308}
minimo {58307,-58307}
minimo {58306,-58306}
minimo {58305,-58305}
minimo {58304,-58304}
minimo {58303,-58303}
minimo {58302,-58302}
minimo {58301,-58301}
minimo {58300,-58300}
minimo {58299,-58299}
minimo {58298,-58298}
minimo {58297,-58297}
minimo {58296,-58296}
minimo {58295,-58295}
minimo {58294,-58294}
minimo {58293,-58293}
minimo {58292,-58292}
minimo {58291,-58291}
minimo {58290,-58290}
minimo {58289,-58289}
minimo {58288,-58288}
minimo {58287,-58287}
minimo {58286,-58286}
minimo {58285,-58285}
minimo {58284,-58284}
minimo {58283,-58283}
minimo {58282,-58282}
minimo {58281,-58281}
minimo {58280,-58280}
minimo {58279,-58279}
minimo {58278,-58278}
minimo {58277,-58277}
minimo {58276,-58276}
minimo {58275,-58275}
minimo {58274,-58274}
minimo {58273,-58273}
minimo {58272,-58272}
minimo {58271,-58271}
minimo {58270,-58270}
minimo {58269,-58269}
minimo {58268,-58268}
minimo {58267,-58267}
minimo {58266,-58266}
minimo {58265,-58265}
minimo {58264,-58264}
minimo {58263,-58263}
minimo {58262,-58262}
minimo {58261,-58261}
minimo {58260,-58260}
minimo {58259,-58259}
minimo {58258,-58258}
minimo {58257,-58257}
minimo {58256,-58256}
minimo {58255,-58255}
minimo {58254,-58254}
minimo {58253,-58253}
minimo {58252,-58252}
minimo {58251,-58251}
minimo {58250,-58250}
minimo {58249,-58249}
minimo {58248,-58248}
minimo {58247,-58247}
minimo {58246,-58246}
minimo {58245,-58245}
minimo {58244,-58244}
minimo {58243,-58243}
minimo {58242,-58242}
minimo {58241,-58241}
minimo {58240,-58240}
minimo {58239,-58239}
minimo {58238,-58238}
minimo {58237,-58237}
minimo {58236,-58236}
minimo {58235,-58235}
minimo {58234,-58234}
minimo {58233,-58233}
minimo {58232,-58232}
minimo {58231,-58231}
minimo {58230,-58230}
minimo {58229,-58229}
minimo {58228,-58228}
minimo {58227,-58227}
minimo {58226,-58226}
minimo {58225,-58225}
minimo {58224,-58224}
minimo {58223,-58223}
minimo {58222,-58222}
minimo {58221,-58221}
minimo {58220,-58220}
minimo {58219,-58219}
minimo {58218,-58218}
minimo {58217,-58217}
minimo {58216,-58216}
minimo {58215,-58215}
minimo {58214,-58214}
minimo {58213,-58213}
minimo {58212,-58212}
minimo {58211,-58211}
minimo {58210,-58210}
minimo {58209,-58209}
minimo {58208,-58208}
minimo {58207,-58207}
minimo {58206,-58206}
minimo {58205,-58205}
minimo {58204,-58204}
minimo {58203,-58203}
minimo {58202,-58202}
minimo {58201,-58201}
minimo {58200,-58200}
minimo {58199,-58199}
minimo {58198,-58198}
minimo {58197,-58197}
minimo {58196,-58196}
minimo {58195,-58195}
minimo {58194,-58194}
minimo {58193,-58193}
minimo {58192,-58192}
minimo {58191,-58191}
minimo {58190,-58190}
minimo {58189,-58189}
minimo {58188,-58188}
minimo {58187,-58187}
minimo {58186,-58186}
minimo {58185,-58185}
minimo {58184,-58184}
minimo {58183,-58183}
minimo {58182,-58182}
minimo {58181,-58181}
minimo {58180,-58180}
minimo {58179,-58179}
minimo {58178,-58178}
minimo {58177,-58177}
minimo {58176,-58176}
minimo {58175,-58175}
minimo {58174,-58174}
minimo {58173,-58173}
minimo {58172,-58172}
minimo {58171,-58171}
minimo {58170,-58170}
minimo {58169,-58169}
minimo {58168,-58168}
minimo {58167,-58167}
minimo {58166,-58166}
minimo {58165,-58165}
minimo {58164,-58164}
minimo {58163,-58163}
minimo {58162,-58162}
minimo {58161,-58161}
minimo {58160,-58160}
minimo {58159,-58159}
minimo {58158,-58158}
minimo {58157,-58157}
minimo {58156,-58156}
minimo {58155,-58155}
minimo {58154,-58154}
minimo {58153,-58153}
minimo {58152,-58152}
minimo {58151,-58151}
minimo {58150,-58150}
minimo {58149,-58149}
minimo {58148,-58148}
minimo {58147,-58147}
minimo {58146,-58146}
minimo {58145,-58145}
minimo {58144,-58144}
minimo {58143,-58143}
minimo {58142,-58142}
minimo {58141,-58141}
minimo {58140,-58140}
minimo {58139,-58139}
minimo {58138,-58138}
minimo {58137,-58137}
minimo {58136,-58136}
minimo {58135,-58135}
minimo {58134,-58134}
minimo {58133,-58133}
minimo {58132,-58132}
minimo {58131,-58131}
minimo {58130,-58130}
minimo {58129,-58129}
minimo {58128,-58128}
minimo {58127,-58127}
minimo {58126,-58126}
minimo {58125,-58125}
minimo {58124,-58124}
minimo {58123,-58123}
minimo {58122,-58122}
minimo {58121,-58121}
minimo {58120,-58120}
minimo {58119,-58119}
minimo {58118,-58118}
minimo {58117,-58117}
minimo {58116,-58116}
minimo {58115,-58115}
minimo {58114,-58114}
minimo {58113,-58113}
minimo {58112,-58112}
minimo {58111,-58111}
minimo {58110,-58110}
minimo {58109,-58109}
minimo {58108,-58108}
minimo {58107,-58107}
minimo {58106,-58106}
minimo {58105,-58105}
minimo {58104,-58104}
minimo {58103,-58103}
minimo {58102,-58102}
minimo {58101,-58101}
minimo {58100,-58100}
minimo {58099,-58099}
minimo {58098,-58098}
minimo {58097,-58097}
minimo {58096,-58096}
minimo {58095,-58095}
minimo {58094,-58094}
minimo {58093,-58093}
minimo {58092,-58092}
minimo {58091,-58091}
minimo {58090,-58090}
minimo {58089,-58089}
minimo {58088,-58088}
minimo {58087,-58087}
minimo {58086,-58086}
minimo {58085,-58085}
minimo {58084,-58084}
minimo {58083,-58083}
minimo {58082,-58082}
minimo {58081,-58081}
minimo {58080,-58080}
minimo {58079,-58079}
minimo {58078,-58078}
minimo {58077,-58077}
minimo {58076,-58076}
minimo {58075,-58075}
minimo {58074,-58074}
minimo {58073,-58073}
minimo {58072,-58072}
minimo {58071,-58071}
minimo {58070,-58070}
minimo {58069,-58069}
minimo {58068,-58068}
minimo {58067,-58067}
minimo {58066,-58066}
minimo {58065,-58065}
minimo {58064,-58064}
minimo {58063,-58063}
minimo {58062,-58062}
minimo {58061,-58061}
minimo {58060,-58060}
minimo {58059,-58059}
minimo {58058,-58058}
minimo {58057,-58057}
minimo {58056,-58056}
minimo {58055,-58055}
minimo {58054,-58054}
minimo {58053,-58053}
minimo {58052,-58052}
minimo {58051,-58051}
minimo {58050,-58050}
minimo {58049,-58049}
minimo {58048,-58048}
minimo {58047,-58047}
minimo {58046,-58046}
minimo {58045,-58045}
minimo {58044,-58044}
minimo {58043,-58043}
minimo {58042,-58042}
minimo {58041,-58041}
minimo {58040,-58040}
minimo {58039,-58039}
minimo {58038,-58038}
minimo {58037,-58037}
minimo {58036,-58036}
minimo {58035,-58035}
minimo {58034,-58034}
minimo {58033,-58033}
minimo {58032,-58032}
minimo {58031,-58031}
minimo {58030,-58030}
minimo {58029,-58029}
minimo {58028,-58028}
minimo {58027,-58027}
minimo {58026,-58026}
minimo {58025,-58025}
minimo {58024,-58024}
minimo {58023,-58023}
minimo {58022,-58022}
minimo {58021,-58021}
minimo {58020,-58020}
minimo {58019,-58019}
minimo {58018,-58018}
minimo {58017,-58017}
minimo {58016,-58016}
minimo {58015,-58015}
minimo {58014,-58014}
minimo {58013,-58013}
minimo {58012,-58012}
minimo {58011,-58011}
minimo {58010,-58010}
minimo {58009,-58009}
minimo {58008,-58008}
minimo {58007,-58007}
minimo {58006,-58006}
minimo {58005,-58005}
minimo {58004,-58004}
minimo {58003,-58003}
minimo {58002,-58002}
minimo {58001,-58001}
minimo {58000,-58000}
minimo {57999,-57999}
minimo {57998,-57998}
minimo {57997,-57997}
minimo {57996,-57996}
minimo {57995,-57995}
minimo {57994,-57994}
minimo {57993,-57993}
minimo {57992,-57992}
minimo {57991,-57991}
minimo {57990,-57990}
minimo {57989,-57989}
minimo {57988,-57988}
minimo {57987,-57987}
minimo {57986,-57986}
minimo {57985,-57985}
minimo {57984,-57984}
minimo {57983,-57983}
minimo {57982,-57982}
minimo {57981,-57981}
minimo {57980,-57980}
minimo {57979,-57979}
minimo {57978,-57978}
minimo {57977,-57977}
minimo {57976,-57976}
minimo {57975,-57975}
minimo {57974,-57974}
minimo {57973,-57973}
minimo {57972,-57972}
minimo {57971,-57971}
minimo {57970,-57970}
minimo {57969,-57969}
minimo {57968,-57968}
minimo {57967,-57967}
minimo {57966,-57966}
minimo {57965,-57965}
minimo {57964,-57964}
minimo {57963,-57963}
minimo {57962,-57962}
minimo {57961,-57961}
minimo {57960,-57960}
minimo {57959,-57959}
minimo {57958,-57958}
minimo {57957,-57957}
minimo {57956,-57956}
minimo {57955,-57955}
minimo {57954,-57954}
minimo {57953,-57953}
minimo {57952,-57952}
minimo {57951,-57951}
minimo {57950,-57950}
minimo {57949,-57949}
minimo {57948,-57948}
minimo {57947,-57947}
minimo {57946,-57946}
minimo {57945,-57945}
minimo {57944,-57944}
minimo {57943,-57943}
minimo {57942,-57942}
minimo {57941,-57941}
minimo {57940,-57940}
minimo {57939,-57939}
minimo {57938,-57938}
minimo {57937,-57937}
minimo {57936,-57936}
minimo {57935,-57935}
minimo {57934,-57934}
minimo {57933,-57933}
minimo {57932,-57932}
minimo {57931,-57931}
minimo {57930,-57930}
minimo {57929,-57929}
minimo {57928,-57928}
minimo {57927,-57927}
minimo {57926,-57926}
minimo {57925,-57925}
minimo {57924,-57924}
minimo {57923,-57923}
minimo {57922,-57922}
minimo {57921,-57921}
minimo {57920,-57920}
minimo {57919,-57919}
minimo {57918,-57918}
minimo {57917,-57917}
minimo {57916,-57916}
minimo {57915,-57915}
minimo {57914,-57914}
minimo {57913,-57913}
minimo {57912,-57912}
minimo {57911,-57911}
minimo {57910,-57910}
minimo {57909,-57909}
minimo {57908,-57908}
minimo {57907,-57907}
minimo {57906,-57906}
minimo {57905,-57905}
minimo {57904,-57904}
minimo {57903,-57903}
minimo {57902,-57902}
minimo {57901,-57901}
minimo {57900,-57900}
minimo {57899,-57899}
minimo {57898,-57898}
minimo {57897,-57897}
minimo {57896,-57896}
minimo {57895,-57895}
minimo {57894,-57894}
minimo {57893,-57893}
minimo {57892,-57892}
minimo {57891,-57891}
minimo {57890,-57890}
minimo {57889,-57889}
minimo {57888,-57888}
minimo {57887,-57887}
minimo {57886,-57886}
minimo {57885,-57885}
minimo {57884,-57884}
minimo {57883,-57883}
minimo {57882,-57882}
minimo {57881,-57881}
minimo {57880,-57880}
minimo {57879,-57879}
minimo {57878,-57878}
minimo {57877,-57877}
minimo {57876,-57876}
minimo {57875,-57875}
minimo {57874,-57874}
minimo {57873,-57873}
minimo {57872,-57872}
minimo {57871,-57871}
minimo {57870,-57870}
minimo {57869,-57869}
minimo {57868,-57868}
minimo {57867,-57867}
minimo {57866,-57866}
minimo {57865,-57865}
minimo {57864,-57864}
minimo {57863,-57863}
minimo {57862,-57862}
minimo {57861,-57861}
minimo {57860,-57860}
minimo {57859,-57859}
minimo {57858,-57858}
minimo {57857,-57857}
minimo {57856,-57856}
minimo {57855,-57855}
minimo {57854,-57854}
minimo {57853,-57853}
minimo {57852,-57852}
minimo {57851,-57851}
minimo {57850,-57850}
minimo {57849,-57849}
minimo {57848,-57848}
minimo {57847,-57847}
minimo {57846,-57846}
minimo {57845,-57845}
minimo {57844,-57844}
minimo {57843,-57843}
minimo {57842,-57842}
minimo {57841,-57841}
minimo {57840,-57840}
minimo {57839,-57839}
minimo {57838,-57838}
minimo {57837,-57837}
minimo {57836,-57836}
minimo {57835,-57835}
minimo {57834,-57834}
minimo {57833,-57833}
minimo {57832,-57832}
minimo {57831,-57831}
minimo {57830,-57830}
minimo {57829,-57829}
minimo {57828,-57828}
minimo {57827,-57827}
minimo {57826,-57826}
minimo {57825,-57825}
minimo {57824,-57824}
minimo {57823,-57823}
minimo {57822,-57822}
minimo {57821,-57821}
minimo {57820,-57820}
minimo {57819,-57819}
minimo {57818,-57818}
minimo {57817,-57817}
minimo {57816,-57816}
minimo {57815,-57815}
minimo {57814,-57814}
minimo {57813,-57813}
minimo {57812,-57812}
minimo {57811,-57811}
minimo {57810,-57810}
minimo {57809,-57809}
minimo {57808,-57808}
minimo {57807,-57807}
minimo {57806,-57806}
minimo {57805,-57805}
minimo {57804,-57804}
minimo {57803,-57803}
minimo {57802,-57802}
minimo {57801,-57801}
minimo {57800,-57800}
minimo {57799,-57799}
minimo {57798,-57798}
minimo {57797,-57797}
minimo {57796,-57796}
minimo {57795,-57795}
minimo {57794,-57794}
minimo {57793,-57793}
minimo {57792,-57792}
minimo {57791,-57791}
minimo {57790,-57790}
minimo {57789,-57789}
minimo {57788,-57788}
minimo {57787,-57787}
minimo {57786,-57786}
minimo {57785,-57785}
minimo {57784,-57784}
minimo {57783,-57783}
minimo {57782,-57782}
minimo {57781,-57781}
minimo {57780,-57780}
minimo {57779,-57779}
minimo {57778,-57778}
minimo {57777,-57777}
minimo {57776,-57776}
minimo {57775,-57775}
minimo {57774,-57774}
minimo {57773,-57773}
minimo {57772,-57772}
minimo {57771,-57771}
minimo {57770,-57770}
minimo {57769,-57769}
minimo {57768,-57768}
minimo {57767,-57767}
minimo {57766,-57766}
minimo {57765,-57765}
minimo {57764,-57764}
minimo {57763,-57763}
minimo {57762,-57762}
minimo {57761,-57761}
minimo {57760,-57760}
minimo {57759,-57759}
minimo {57758,-57758}
minimo {57757,-57757}
minimo {57756,-57756}
minimo {57755,-57755}
minimo {57754,-57754}
minimo {57753,-57753}
minimo {57752,-57752}
minimo {57751,-57751}
minimo {57750,-57750}
minimo {57749,-57749}
minimo {57748,-57748}
minimo {57747,-57747}
minimo {57746,-57746}
minimo {57745,-57745}
minimo {57744,-57744}
minimo {57743,-57743}
minimo {57742,-57742}
minimo {57741,-57741}
minimo {57740,-57740}
minimo {57739,-57739}
minimo {57738,-57738}
minimo {57737,-57737}
minimo {57736,-57736}
minimo {57735,-57735}
minimo {57734,-57734}
minimo {57733,-57733}
minimo {57732,-57732}
minimo {57731,-57731}
minimo {57730,-57730}
minimo {57729,-57729}
minimo {57728,-57728}
minimo {57727,-57727}
minimo {57726,-57726}
minimo {57725,-57725}
minimo {57724,-57724}
minimo {57723,-57723}
minimo {57722,-57722}
minimo {57721,-57721}
minimo {57720,-57720}
minimo {57719,-57719}
minimo {57718,-57718}
minimo {57717,-57717}
minimo {57716,-57716}
minimo {57715,-57715}
minimo {57714,-57714}
minimo {57713,-57713}
minimo {57712,-57712}
minimo {57711,-57711}
minimo {57710,-57710}
minimo {57709,-57709}
minimo {57708,-57708}
minimo {57707,-57707}
minimo {57706,-57706}
minimo {57705,-57705}
minimo {57704,-57704}
minimo {57703,-57703}
minimo {57702,-57702}
minimo {57701,-57701}
minimo {57700,-57700}
minimo {57699,-57699}
minimo {57698,-57698}
minimo {57697,-57697}
minimo {57696,-57696}
minimo {57695,-57695}
minimo {57694,-57694}
minimo {57693,-57693}
minimo {57692,-57692}
minimo {57691,-57691}
minimo {57690,-57690}
minimo {57689,-57689}
minimo {57688,-57688}
minimo {57687,-57687}
minimo {57686,-57686}
minimo {57685,-57685}
minimo {57684,-57684}
minimo {57683,-57683}
minimo {57682,-57682}
minimo {57681,-57681}
minimo {57680,-57680}
minimo {57679,-57679}
minimo {57678,-57678}
minimo {57677,-57677}
minimo {57676,-57676}
minimo {57675,-57675}
minimo {57674,-57674}
minimo {57673,-57673}
minimo {57672,-57672}
minimo {57671,-57671}
minimo {57670,-57670}
minimo {57669,-57669}
minimo {57668,-57668}
minimo {57667,-57667}
minimo {57666,-57666}
minimo {57665,-57665}
minimo {57664,-57664}
minimo {57663,-57663}
minimo {57662,-57662}
minimo {57661,-57661}
minimo {57660,-57660}
minimo {57659,-57659}
minimo {57658,-57658}
minimo {57657,-57657}
minimo {57656,-57656}
minimo {57655,-57655}
minimo {57654,-57654}
minimo {57653,-57653}
minimo {57652,-57652}
minimo {57651,-57651}
minimo {57650,-57650}
minimo {57649,-57649}
minimo {57648,-57648}
minimo {57647,-57647}
minimo {57646,-57646}
minimo {57645,-57645}
minimo {57644,-57644}
minimo {57643,-57643}
minimo {57642,-57642}
minimo {57641,-57641}
minimo {57640,-57640}
minimo {57639,-57639}
minimo {57638,-57638}
minimo {57637,-57637}
minimo {57636,-57636}
minimo {57635,-57635}
minimo {57634,-57634}
minimo {57633,-57633}
minimo {57632,-57632}
minimo {57631,-57631}
minimo {57630,-57630}
minimo {57629,-57629}
minimo {57628,-57628}
minimo {57627,-57627}
minimo {57626,-57626}
minimo {57625,-57625}
minimo {57624,-57624}
minimo {57623,-57623}
minimo {57622,-57622}
minimo {57621,-57621}
minimo {57620,-57620}
minimo {57619,-57619}
minimo {57618,-57618}
minimo {57617,-57617}
minimo {57616,-57616}
minimo {57615,-57615}
minimo {57614,-57614}
minimo {57613,-57613}
minimo {57612,-57612}
minimo {57611,-57611}
minimo {57610,-57610}
minimo {57609,-57609}
minimo {57608,-57608}
minimo {57607,-57607}
minimo {57606,-57606}
minimo {57605,-57605}
minimo {57604,-57604}
minimo {57603,-57603}
minimo {57602,-57602}
minimo {57601,-57601}
minimo {57600,-57600}
minimo {57599,-57599}
minimo {57598,-57598}
minimo {57597,-57597}
minimo {57596,-57596}
minimo {57595,-57595}
minimo {57594,-57594}
minimo {57593,-57593}
minimo {57592,-57592}
minimo {57591,-57591}
minimo {57590,-57590}
minimo {57589,-57589}
minimo {57588,-57588}
minimo {57587,-57587}
minimo {57586,-57586}
minimo {57585,-57585}
minimo {57584,-57584}
minimo {57583,-57583}
minimo {57582,-57582}
minimo {57581,-57581}
minimo {57580,-57580}
minimo {57579,-57579}
minimo {57578,-57578}
minimo {57577,-57577}
minimo {57576,-57576}
minimo {57575,-57575}
minimo {57574,-57574}
minimo {57573,-57573}
minimo {57572,-57572}
minimo {57571,-57571}
minimo {57570,-57570}
minimo {57569,-57569}
minimo {57568,-57568}
minimo {57567,-57567}
minimo {57566,-57566}
minimo {57565,-57565}
minimo {57564,-57564}
minimo {57563,-57563}
minimo {57562,-57562}
minimo {57561,-57561}
minimo {57560,-57560}
minimo {57559,-57559}
minimo {57558,-57558}
minimo {57557,-57557}
minimo {57556,-57556}
minimo {57555,-57555}
minimo {57554,-57554}
minimo {57553,-57553}
minimo {57552,-57552}
minimo {57551,-57551}
minimo {57550,-57550}
minimo {57549,-57549}
